"100 Mph","#c93f38","100 mph"
"French Bistre","#856d4d","french bistre"
"French Blue","#0072bb","french blue"
"French Bustle","#f2d5d4","french bustle"
"French Castle","#cdc0b7","french castle"
"French Court","#6a8ea2","french court"
"French Creme","#f2e6cf","french creme"
"French Diamond","#597191","french diamond"
"French Fry","#ebc263","french fry"
"French Fuchsia","#fd3f92","french fuchsia"
"French Grey Linen","#cac8b6","french grey linen"
"French Grey","#bfbdc1","french grey"
"French Heirloom","#e9e2e0","french heirloom"
"French Lavender","#dfc9d1","french lavender"
"French Lilac Blue","#adbae3","french lilac blue"
"French Lilac","#deb7d9","french lilac"
"French Lime","#c0ff00","french lime"
"French Limestone","#c9d6c2","french limestone"
"French Manicure","#fee6dc","french manicure"
"French Market","#a2c7a3","french market"
"French Marron","#ad747d","french marron"
"French Mauve","#d473d4","french mauve"
"French Mirage Blue","#446688","french mirage blue"
"French Moire","#9fbbc3","french moire"
"French Oak","#bb9e7c","french oak"
"French Pale Gold","#d4ab60","french pale gold"
"French Parsley","#9ea07d","french parsley"
"French Pass","#a4d2e0","french pass"
"French Pastry","#c4aa92","french pastry"
"French Pear","#9e9f7d","french pear"
"French Pink","#fd6c9e","french pink"
"French Plum","#811453","french plum"
"French Porcelain Clay","#faf1d7","french porcelain clay"
"French Porcelain","#f6f4f6","french porcelain"
"French Puce","#4e1609","french puce"
"French Raspberry","#c72c48","french raspberry"
"French Roast","#644c48","french roast"
"French Rose","#f64a8a","french rose"
"French Shutter","#bab6a0","french shutter"
"French Silk","#c0c6d2","french silk"
"French Silver","#b8bcbc","french silver"
"French Sky Blue","#77b5fe","french sky blue"
"French Tarragon","#667255","french tarragon"
"French Taupe","#d3c2bf","french taupe"
"French Toast","#dd8822","french toast"
"French Truffle","#896d61","french truffle"
"French Vanilla Sorbet","#fbe8ce","french vanilla sorbet"
"French Vanilla","#efe1a7","french vanilla"
"French Violet","#8806ce","french violet"
"French White","#f1e7db","french white"
"French Wine","#ac1e44","french wine"
"French Winery","#991133","french winery"
"Frenzied Red","#814a5c","frenzied red"
"Frenzy","#feb101","frenzy"
"Fresco Blue","#034c67","fresco blue"
"Fresco Cream","#fcc9a6","fresco cream"
"Fresco Green","#7bd9ad","fresco green"
"Fresco","#f4dbd9","fresco"
"Fresh Acorn","#d2693e","fresh acorn"
"Fresh Air","#a6e7ff","fresh air"
"Fresh Apple","#97a346","fresh apple"
"Fresh Apricot","#ffd7a5","fresh apricot"
"Fresh Artichoke","#7c8447","fresh artichoke"
"Fresh Auburn","#a52a24","fresh auburn"
"Fresh Baked Bread","#f8d7be","fresh baked bread"
"Fresh Basil","#5c5f4b","fresh basil"
"Fresh Blue of Bel Air","#069af3","fresh blue of bel air"
"Fresh Blue","#8bd6e2","fresh blue"
"Fresh Breeze","#beeddc","fresh breeze"
"Fresh Brew","#b8aa7d","fresh brew"
"Fresh Cantaloupe","#ff9c68","fresh cantaloupe"
"Fresh Cedar","#a77f74","fresh cedar"
"Fresh Cinnamon","#995511","fresh cinnamon"
"Fresh Clay","#be8035","fresh clay"
"Fresh Cream","#fcf7e0","fresh cream"
"Fresh Croissant","#cc9f76","fresh croissant"
"Fresh Cut Grass","#91cb7d","fresh cut grass"
"Fresh Cut","#f2003c","fresh cut"
"Fresh Day","#dfe9e5","fresh day"
"Fresh Dew","#f0f4e5","fresh dew"
"Fresh Dough","#f2ebe6","fresh dough"
"Fresh Eggplant","#4f467e","fresh eggplant"
"Fresh Eggs","#faf4ce","fresh eggs"
"Fresh Eucalyptus","#adbcb4","fresh eucalyptus"
"Fresh Frappé","#dbe69d","fresh frappé"
"Fresh Gingerbread","#d3691f","fresh gingerbread"
"Fresh Granny Smith","#7ff217","fresh granny smith"
"Fresh Green","#69d84f","fresh green"
"Fresh Greens","#3fad71","fresh greens"
"Fresh Grown","#f0f7c4","fresh grown"
"Fresh Guacamole","#a2b07e","fresh guacamole"
"Fresh Gum","#ffaadd","fresh gum"
"Fresh Heather","#d1c1dd","fresh heather"
"Fresh Herb","#77913b","fresh herb"
"Fresh Herbs","#3a5f49","fresh herbs"
"Fresh Honeydew","#f6efc5","fresh honeydew"
"Fresh Ivy Green","#006a5b","fresh ivy green"
"Fresh Lavender","#8e90b4","fresh lavender"
"Fresh Lawn","#88aa00","fresh lawn"
"Fresh Leaf","#93ef10","fresh leaf"
"Fresh Lemonade","#ece678","fresh lemonade"
"Fresh Lettuce","#b2d58c","fresh lettuce"
"Fresh Lime","#d8f1cb","fresh lime"
"Fresh Linen","#ebe8da","fresh linen"
"Fresh Mint","#2a5443","fresh mint"
"Fresh Nectar","#daa674","fresh nectar"
"Fresh Neon Pink","#ff11ff","fresh neon pink"
"Fresh Olive","#a69e73","fresh olive"
"Fresh Onion","#5b8930","fresh onion"
"Fresh Oregano","#4faa6c","fresh oregano"
"Fresh Peaches","#f6b98a","fresh peaches"
"Fresh Pesto","#a0bd14","fresh pesto"
"Fresh Piglet","#fddde6","fresh piglet"
"Fresh Pine","#4f5b49","fresh pine"
"Fresh Pineapple","#f3d64f","fresh pineapple"
"Fresh Pink Lemonade","#d2adb5","fresh pink lemonade"
"Fresh Pink","#e19091","fresh pink"
"Fresh Popcorn","#f4f3e9","fresh popcorn"
"Fresh Praline","#e7bb95","fresh praline"
"Fresh Salmon","#ff7356","fresh salmon"
"Fresh Sawdust","#c8a278","fresh sawdust"
"Fresh Scent","#f1c11c","fresh scent"
"Fresh Snow","#f6efe1","fresh snow"
"Fresh Sod","#91a085","fresh sod"
"Fresh Soft Blue","#6ab9bb","fresh soft blue"
"Fresh Sprout","#c7c176","fresh sprout"
"Fresh Squeezed","#ffad00","fresh squeezed"
"Fresh Start","#cfd4a4","fresh start"
"Fresh Straw","#eecc66","fresh straw"
"Fresh Take","#505b93","fresh take"
"Fresh Thyme","#aebda8","fresh thyme"
"Fresh Tone","#b2c7c0","fresh tone"
"Fresh Turquoise","#40e0d0","fresh turquoise"
"Fresh Up","#dfebb1","fresh up"
"Fresh Water","#c6e3f7","fresh water"
"Fresh Watermelon","#df9689","fresh watermelon"
"Fresh Willow","#e1d9aa","fresh willow"
"Fresh Wood Ashes","#eae6cc","fresh wood ashes"
"Fresh Yellow","#f7e190","fresh yellow"
"Fresh Zest","#f5e9cf","fresh zest"
"Fresh on the Market","#faa9bb","fresh on the market"
"Freshly Baked","#e9c180","freshly baked"
"Freshly Purpleized","#5c5083","freshly purpleized"
"Freshly Roasted Coffee","#663322","freshly roasted coffee"
"Freshman","#e6f2c4","freshman"
"Freshmint","#d9f4ea","freshmint"
"Freshwater Marsh","#535644","freshwater marsh"
"Freshwater","#4da6b2","freshwater"
"Fretwire","#b2a490","fretwire"
"Friar Brown","#754e3e","friar brown"
"Friar Grey","#807e79","friar grey"
"Friar Tuck","#ddb994","friar tuck"
"Friar’s Brown","#5e5241","friar’s brown"
"Fricassée","#ffe6c2","fricassée"
"Fried Egg","#ffe464","fried egg"
"Friendly Basilisk","#e2f5e1","friendly basilisk"
"Friendly Frost","#bffbff","friendly frost"
"Friendly Homestead","#c8a992","friendly homestead"
"Friendly Yellow","#f5e0b1","friendly yellow"
"Friends","#e8c5c1","friends"
"Friendship","#fed8c2","friendship"
"Fright Night","#004499","fright night"
"Frijid Pink","#ee77ff","frijid pink"
"Frilled Shark","#939fa9","frilled shark"
"Frills","#8fa6c1","frills"
"Fringy Flower","#b4e1bb","fringy flower"
"Frisky Blue","#7bb1c9","frisky blue"
"Frisky","#ccdda1","frisky"
"Frittata","#feebc8","frittata"
"Frivolous Folly","#cfd2c7","frivolous folly"
"Frog Green","#00693c","frog green"
"Frog Hollow","#7da270","frog hollow"
"Frog Pond","#73b683","frog pond"
"Frog Prince","#bbd75a","frog prince"
"Frog on a Log","#8fb943","frog on a log"
"Frog","#58bc08","frog"
"Frogger","#8cd612","frogger"
"Froggy Pond","#7fba9e","froggy pond"
"Frog’s Legs","#8c8449","frog’s legs"
"Frolic","#f9e7e1","frolic"
"Froly","#e56d75","froly"
"Frond","#7b7f56","frond"
"Front Porch","#cdccc5","front porch"
"Frontier Brown","#9a8172","frontier brown"
"Frontier Fort","#c3b19f","frontier fort"
"Frontier Land","#bca59a","frontier land"
"Frontier Shadow","#655a4a","frontier shadow"
"Frontier Shingle","#7b5f46","frontier shingle"
"Frontier","#314a49","frontier"
"Frost Bite","#f6f0e5","frost bite"
"Frost Blue","#5d9aa6","frost blue"
"Frost Fairy","#bbcfef","frost fairy"
"Frost Grey","#7f7d7e","frost grey"
"Frost Gum","#8ecb9e","frost gum"
"Frost Wind","#daebef","frost wind"
"Frost","#e1e4c5","frost"
"Frostbite","#acfffc","frostbite"
"Frosted Almond","#d2c2ac","frosted almond"
"Frosted Blueberries","#0055dd","frosted blueberries"
"Frosted Cocoa","#a89c91","frosted cocoa"
"Frosted Emerald","#78b185","frosted emerald"
"Frosted Fern","#a7a796","frosted fern"
"Frosted Garden","#e2f7d9","frosted garden"
"Frosted Glass","#eaf0f0","frosted glass"
"Frosted Grape","#d4c4d2","frosted grape"
"Frosted Hills","#aaeeaa","frosted hills"
"Frosted Iris","#b1b9d9","frosted iris"
"Frosted Jade","#c2d1c4","frosted jade"
"Frosted Juniper","#f0f4eb","frosted juniper"
"Frosted Lemon","#ffedc7","frosted lemon"
"Frosted Lilac","#d3d1dc","frosted lilac"
"Frosted Mint Hills","#ccffc2","frosted mint hills"
"Frosted Mint","#e2f2e4","frosted mint"
"Frosted Plains","#e0ffdf","frosted plains"
"Frosted Pomegranate","#ad3d46","frosted pomegranate"
"Frosted Sage","#c6d1c4","frosted sage"
"Frosted Silver","#c5c9c5","frosted silver"
"Frosted Sugar","#d5bcc2","frosted sugar"
"Frosted Toffee","#f1dbbf","frosted toffee"
"Frosted Tulip","#f6d8d7","frosted tulip"
"Frostee","#dbe5d2","frostee"
"Frosting Cream","#fffbee","frosting cream"
"Frostini","#dbf2d9","frostini"
"Frostproof","#d1f0f6","frostproof"
"Frostwork","#eff1e3","frostwork"
"Frosty Dawn","#cbe9c9","frosty dawn"
"Frosty Day","#ccebf5","frosty day"
"Frosty Fog","#dee1e9","frosty fog"
"Frosty Glade","#a0c0bf","frosty glade"
"Frosty Green","#a3b5a6","frosty green"
"Frosty Mint","#e2f7f1","frosty mint"
"Frosty Morning","#efe8e8","frosty morning"
"Frosty Nightfall","#9497b3","frosty nightfall"
"Frosty Pine","#c7cfbe","frosty pine"
"Frosty Pink","#dfe9e3","frosty pink"
"Frosty Soft Blue","#b4e0de","frosty soft blue"
"Frosty Spruce","#578270","frosty spruce"
"Frosty White Blue","#cce9e4","frosty white blue"
"Frosty White","#ddddd6","frosty white"
"Froth","#c6b8ae","froth"
"Frothy Milk","#faede6","frothy milk"
"Frothy Surf","#e7ebe6","frothy surf"
"Frozen Banana","#fbf5d6","frozen banana"
"Frozen Blue","#a5c5d9","frozen blue"
"Frozen Boubble","#00eedd","frozen boubble"
"Frozen Civilization","#e1f5e5","frozen civilization"
"Frozen Custard","#fbeabd","frozen custard"
"Frozen Dew","#d1caa4","frozen dew"
"Frozen Edamame","#9ca48a","frozen edamame"
"Frozen Forest","#cfe8b6","frozen forest"
"Frozen Frappé","#ddc5d2","frozen frappé"
"Frozen Fruit","#e1ca99","frozen fruit"
"Frozen Grass","#deeadc","frozen grass"
"Frozen Lake","#7b9cb3","frozen lake"
"Frozen Landscape","#aee4ff","frozen landscape"
"Frozen Mammoth","#dfd9da","frozen mammoth"
"Frozen Margarita","#dbe2cc","frozen margarita"
"Frozen Mint","#d8e8e6","frozen mint"
"Frozen Moss Green","#addfad","frozen moss green"
"Frozen Pea","#c4ead5","frozen pea"
"Frozen Periwinkle","#c9d1ef","frozen periwinkle"
"Frozen Pond","#a5b4ae","frozen pond"
"Frozen Salmon","#fea993","frozen salmon"
"Frozen State","#26f7fd","frozen state"
"Frozen Statues","#e1dee5","frozen statues"
"Frozen Stream","#30555d","frozen stream"
"Frozen Tomato","#dd5533","frozen tomato"
"Frozen Tundra","#a3bfcb","frozen tundra"
"Frozen Turquoise","#53f6ff","frozen turquoise"
"Frozen Veins","#ecb3be","frozen veins"
"Frozen Wave","#56acca","frozen wave"
"Frozen Whisper","#8bbbdb","frozen whisper"
"Frugal","#a5d7b2","frugal"
"Fruit Bowl","#fdc9d0","fruit bowl"
"Fruit Cocktail","#d08995","fruit cocktail"
"Fruit Dove","#ca4f70","fruit dove"
"Fruit Red","#fa8970","fruit red"
"Fruit Salad","#4ba351","fruit salad"
"Fruit Shake","#f39d8d","fruit shake"
"Fruit Yard","#604241","fruit yard"
"Fruit Yellow","#eac064","fruit yellow"
"Fruit of Passion","#946985","fruit of passion"
"Fruitful Orchard","#773b3e","fruitful orchard"
"Fruitless Fig Tree","#448822","fruitless fig tree"
"Fruity Licious","#f69092","fruity licious"
"Fuchsia Berries","#333322","fuchsia berries"
"Fuchsia Blue","#7a58c1","fuchsia blue"
"Fuchsia Blush","#e47cb8","fuchsia blush"
"Fuchsia Felicity","#f44772","fuchsia felicity"
"Fuchsia Fever","#ff5599","fuchsia fever"
"Fuchsia Flair","#bb22bb","fuchsia flair"
"Fuchsia Flame","#ff01cd","fuchsia flame"
"Fuchsia Flash","#dd55cc","fuchsia flash"
"Fuchsia Flock","#ab446b","fuchsia flock"
"Fuchsia Flourish","#bb2299","fuchsia flourish"
"Fuchsia Kiss","#cb6e98","fuchsia kiss"
"Fuchsia Nebula","#7722aa","fuchsia nebula"
"Fuchsia Pheromone","#9f4cb7","fuchsia pheromone"
"Fuchsia Pink","#ff77ff","fuchsia pink"
"Fuchsia Purple","#d33479","fuchsia purple"
"Fuchsia Red","#b73879","fuchsia red"
"Fuchsia Rose","#c74375","fuchsia rose"
"Fuchsia Tint","#c255c1","fuchsia tint"
"Fuchsia","#ed0dd9","fuchsia"
"Fuchsite Green","#5b7e70","fuchsite green"
"Fuchsite","#c3d9ce","fuchsite"
"Fudge Bar","#997964","fudge bar"
"Fudge Brownie","#572b16","fudge brownie"
"Fudge Truffle","#604a3f","fudge truffle"
"Fudge","#583d43","fudge"
"Fudgesicle","#ac6239","fudgesicle"
"Fuegan Orange","#c77e4d","fuegan orange"
"Fuego Nuevo","#ee6622","fuego nuevo"
"Fuego Verde","#c2d62e","fuego verde"
"Fuego","#ee5533","fuego"
"Fuel Town","#596472","fuel town"
"Fuel Yellow","#d19033","fuel yellow"
"Fugitive Flamingo","#ee66aa","fugitive flamingo"
"Fuji Peak","#f6eee2","fuji peak"
"Fuji Purple","#89729e","fuji purple"
"Fuji Snow","#f1efe8","fuji snow"
"Fujinezumi","#766980","fujinezumi"
"Fulgrim Pink","#f5b3ce","fulgrim pink"
"Fulgurite Copper","#e6b77e","fulgurite copper"
"Full Bloom","#fbcdc3","full bloom"
"Full City Roast","#662222","full city roast"
"Full Cream","#fae4ce","full cream"
"Full Glass","#916b77","full glass"
"Full Moon Grey","#cfeae9","full moon grey"
"Full Moon","#f4f3e0","full moon"
"Full Of Life","#de5f2f","full of life"
"Full Swing Indigo","#320094","full swing indigo"
"Full Yellow","#f9bc4f","full yellow"
"Fully Purple","#514c7e","fully purple"
"Fulvous","#e48400","fulvous"
"Fun Blue","#335083","fun blue"
"Fun Green","#15633d","fun green"
"Fun Yellow","#f7e594","fun yellow"
"Fun and Games","#33789c","fun and games"
"Funchal Yellow","#b6884d","funchal yellow"
"Functional Blue","#3f6086","functional blue"
"Functional Grey","#aba39a","functional grey"
"Fundy Bay","#cdd2c9","fundy bay"
"Fungal Hallucinations","#cc00dd","fungal hallucinations"
"Fungi","#8f8177","fungi"
"Funhouse","#f3d9dc","funhouse"
"Funk","#3ea380","funk"
"Funki Porcini","#ee9999","funki porcini"
"Funkie Friday","#4a3c4a","funkie friday"
"Funky Frog","#98bd3c","funky frog"
"Funky Yellow","#edd26f","funky yellow"
"Funnel Cloud","#113366","funnel cloud"
"Funny Face","#edc8ce","funny face"
"Furious Fox","#e35519","furious fox"
"Furious Frog","#55ee00","furious frog"
"Furious Fuchsia","#ee2277","furious fuchsia"
"Furious Red","#ff1100","furious red"
"Furious Tiger","#ea5814","furious tiger"
"Furious Tomato","#c30a12","furious tomato"
"Furnace","#dd4124","furnace"
"Furry Lady","#f5efeb","furry lady"
"Furry Lion","#f09338","furry lion"
"Fury","#ff0011","fury"
"Fuscia Fizz","#b56e91","fuscia fizz"
"Fuscous Grey","#54534d","fuscous grey"
"Fusilli","#f1e8d6","fusilli"
"Fusion Coral","#ff8576","fusion coral"
"Fusion Red","#ff6163","fusion red"
"Fusion","#b0ae26","fusion"
"Fussy Pink","#e6a3b9","fussy pink"
"Futaai Indigo","#614e6e","futaai indigo"
"Futon","#edf6db","futon"
"Future Fuchsia","#ff2040","future fuchsia"
"Future Hair","#20b562","future hair"
"Future Vision","#bcb6bc","future vision"
"Future","#15abbe","future"
"Futuristic","#998da8","futuristic"
"Fuzzy Duckling","#ffea70","fuzzy duckling"
"Fuzzy Navel","#ffd69f","fuzzy navel"
"Fuzzy Peach","#ffbb8f","fuzzy peach"
"Fuzzy Sheep","#f0e9d1","fuzzy sheep"
"Fuzzy Unicorn","#eae3db","fuzzy unicorn"
"Fuzzy Wuzzy Brown","#c45655","fuzzy wuzzy brown"
"Fuzzy Wuzzy","#cc6666","fuzzy wuzzy"
"Fynbos Leaf","#aeb1ac","fynbos leaf"
"Fúchsia Intenso","#d800cc","fúchsia intenso"
"Fēi Hóng Scarlet","#fe420f","fēi hóng scarlet"
"Fěn Hóng Pink","#ff6cb5","fěn hóng pink"
"G.I.","#96834a","g.i."
"Gable Green","#2c4641","gable green"
"Gaboon Viper","#8c6450","gaboon viper"
"Gabriel’s Light","#dacca8","gabriel’s light"
"Gabriel’s Torch","#f8e6c6","gabriel’s torch"
"Gadabout","#ffc4ae","gadabout"
"Gaelic Garden","#a5b3ab","gaelic garden"
"Gaharā Lāl","#ac0c20","gaharā lāl"
"Gaia Stone","#a4be8d","gaia stone"
"Gaia","#d3bc9e","gaia"
"Gaiety","#f4e4e5","gaiety"
"Gainsboro","#dcdcdc","gainsboro"
"Gala Ball","#785d7a","gala ball"
"Gala Pink","#b04b63","gala pink"
"Galactic Civilization","#442288","galactic civilization"
"Galactic Cruise","#111188","galactic cruise"
"Galactic Emerald","#0afa1e","galactic emerald"
"Galactic Federation","#330077","galactic federation"
"Galactic Gossamer","#7f8cb8","galactic gossamer"
"Galactic Grapevine","#6b327b","galactic grapevine"
"Galactic Highway","#3311bb","galactic highway"
"Galactic Mediator","#e0dfdb","galactic mediator"
"Galactic Purple","#472e97","galactic purple"
"Galactic Tint","#c0c4c6","galactic tint"
"Galactic Wonder","#442255","galactic wonder"
"Galactica","#c4dde2","galactica"
"Galago","#95a69f","galago"
"Galah","#d28083","galah"
"Galapagos Green","#29685f","galapagos green"
"Galapagos","#085f6d","galapagos"
"Galaxea","#2e305e","galaxea"
"Galaxy Blue","#2d5284","galaxy blue"
"Galaxy Express","#444499","galaxy express"
"Galaxy Green","#79afad","galaxy green"
"Galaxy","#4f4a52","galaxy"
"Gale Force","#35454e","gale force"
"Gale of the Wind","#007844","gale of the wind"
"Galena","#64776e","galena"
"Galenite Blue","#374b52","galenite blue"
"Galia Melon","#8a8342","galia melon"
"Gallant Gold","#a4763c","gallant gold"
"Gallant Green","#99aa66","gallant green"
"Galleon Blue","#3f95bf","galleon blue"
"Galleria Blue","#8fa4ac","galleria blue"
"Gallery Blue","#9bbce4","gallery blue"
"Gallery Green","#88a385","gallery green"
"Gallery Grey","#c5c2be","gallery grey"
"Gallery Red","#935a59","gallery red"
"Gallery Taupe","#d0c5b8","gallery taupe"
"Gallery White","#eaebe4","gallery white"
"Gallery","#dcd7d1","gallery"
"Galley Gold","#d5aa5e","galley gold"
"Galliano","#d8a723","galliano"
"Gallstone Yellow","#a36629","gallstone yellow"
"Galveston Tan","#e8c8b8","galveston tan"
"Galway Bay","#95a7a4","galway bay"
"Galway","#c4ddbb","galway"
"Gamboge Brown","#996600","gamboge brown"
"Gamboge Yellow","#e6d058","gamboge yellow"
"Gamboge","#e49b0f","gamboge"
"Gambol Gold","#e1b047","gambol gold"
"Game Over","#7e8181","game over"
"Gameboy Contrast","#0f380f","gameboy contrast"
"Gameboy Light","#9bbc0f","gameboy light"
"Gameboy Screen","#8bac0f","gameboy screen"
"Gameboy Shade","#306230","gameboy shade"
"Gamin","#bfd1af","gamin"
"Ganache","#372b2c","ganache"
"Gangly Gremlin","#239d42","gangly gremlin"
"Gangsters Gold","#ffdd22","gangsters gold"
"Ganon Blue","#a4e4fc","ganon blue"
"Ganymede","#8b7d82","ganymede"
"Garbanzo Bean","#f1d5a5","garbanzo bean"
"Garbanzo Paste","#eec684","garbanzo paste"
"Garden Aroma","#9c6989","garden aroma"
"Garden Bower","#778679","garden bower"
"Garden Club","#60784f","garden club"
"Garden Country","#d5c5a8","garden country"
"Garden Cucumber","#506a48","garden cucumber"
"Garden Dawn","#f1f8ec","garden dawn"
"Garden Fairy","#ccd4ec","garden fairy"
"Garden Flower","#a892a8","garden flower"
"Garden Fountain","#729588","garden fountain"
"Garden Gate","#dadcc1","garden gate"
"Garden Gazebo","#abc0bb","garden gazebo"
"Garden Glade","#d9d7a1","garden glade"
"Garden Glory","#ffc1d0","garden glory"
"Garden Glow","#7dcc98","garden glow"
"Garden Gnome Red","#9b2002","garden gnome red"
"Garden Goddess","#99cea0","garden goddess"
"Garden Green","#4e6539","garden green"
"Garden Greenery","#658369","garden greenery"
"Garden Grove","#5e7f57","garden grove"
"Garden Hedge","#6f7d6d","garden hedge"
